# legendlabel: $A e^{-k/\tau}$
# description: 
# m=0.9938337072239355, tau=646.6859173971507[ms]
# fitrange: 1 <= k <= 5000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 646.6859173971507
# 		A = 0.9692993494176645
# 
# legendlabel: $A e^{-k/\tau} + O$
# description: 
# m=0.994261478039535, tau=695.0416806050425[ms]
# fitrange: 1 <= k <= 2999[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 695.0416806050425
# 		A = 0.9901016772895169
# 		O = -0.024830960041080253
# 
# 1_steps[4.0ms]	2_coefficients	3_stderrs	4_coefficients	5_stderrs
2.700000000000000000e+02	2.031280051400496112e-01	3.117998952271720456e-02	nan	nan
2.710000000000000000e+02	2.012356375766172767e-01	3.105228807026567950e-02	nan	nan
2.720000000000000000e+02	1.996407364419962582e-01	3.115856667887420897e-02	nan	nan
2.730000000000000000e+02	1.987276340804529084e-01	3.077665613068016059e-02	nan	nan
2.740000000000000000e+02	1.974933289653780233e-01	3.064657092446661582e-02	nan	nan
2.750000000000000000e+02	1.956380861737019305e-01	3.063244371312040526e-02	nan	nan
2.760000000000000000e+02	1.941395045777968009e-01	3.055268761051854395e-02	nan	nan
2.770000000000000000e+02	1.928380602636925456e-01	3.032687636252488425e-02	nan	nan
2.780000000000000000e+02	1.910738872783206699e-01	3.027319404888618656e-02	nan	nan
2.790000000000000000e+02	1.898473821006998463e-01	3.019659947842993214e-02	nan	nan
2.800000000000000000e+02	1.882499787211114328e-01	3.005057606046616925e-02	nan	nan
2.810000000000000000e+02	1.867926814407688263e-01	2.986352073470818075e-02	nan	nan
2.820000000000000000e+02	1.853866886494121291e-01	2.970771524680706696e-02	nan	nan
2.830000000000000000e+02	1.838655451468516056e-01	2.959035801133380952e-02	nan	nan
2.840000000000000000e+02	1.823821817033092207e-01	2.968978889435195875e-02	nan	nan
